0,Arctic/Longyearbyen
1,Europe/Oslo
2,Europe/Stockholm
3,Europe/Helsinki
4,Asia/Singapore
5,Europe/Mariehamn
6,Europe/London
7,Antarctica/Rothera
8,Europe/Isle_of_Man
9,Europe/Guernsey
10,Europe/Jersey
11,Europe/Dublin
12,Atlantic/Reykjavik
13,America/Thule
14,America/Godthab
15,America/Danmarkshavn
16,America/Scoresbysund
17,Atlantic/Faroe
18,Europe/Copenhagen
19,Europe/Amsterdam
20,Europe/Brussels
21,Europe/Luxembourg
22,Europe/Berlin
23,Europe/Zurich
24,Europe/Vaduz
25,Europe/Paris
26,Atlantic/Madeira
27,Europe/Madrid
28,Europe/Gibraltar
29,Atlantic/Azores
30,Europe/Lisbon
31,Atlantic/Cape_Verde
32,Europe/Vienna
33,Europe/Prague
34,Pacific/Enderbury
35,Europe/Bratislava
36,Europe/Warsaw
37,Europe/Budapest
38,Europe/Ljubljana
39,Europe/Belgrade
40,Europe/Zagreb
41,Europe/Sarajevo
42,Europe/Podgorica
43,Europe/Skopje
44,Europe/Tirane
45,Europe/Bucharest
46,Europe/Sofia
47,Europe/Rome
48,Europe/Malta
49,Europe/Athens
50,Europe/Istanbul
51,Asia/Famagusta
52,Asia/Nicosia
53,Europe/Moscow
54,Asia/Krasnoyarsk
55,Asia/Yekaterinburg
56,Asia/Vladivostok
57,Asia/Yakutsk
58,Asia/Srednekolymsk
59,Asia/Anadyr
60,Asia/Tomsk
61,Asia/Khandyga
62,Asia/Magadan
63,Asia/Irkutsk
64,Asia/Kamchatka
65,Europe/Tallinn
66,Europe/Minsk
67,Europe/Riga
68,Europe/Vilnius
69,Africa/Bujumbura
70,Europe/Kaliningrad
71,Europe/Kirov
72,Europe/Ulyanovsk
73,Europe/Samara
74,Asia/Omsk
75,Asia/Almaty
76,Asia/Qostanay
77,Asia/Novosibirsk
78,Asia/Novokuznetsk
79,Asia/Barnaul
80,Asia/Chita
81,Asia/Shanghai
82,Asia/Sakhalin
83,Asia/Ust-Nera
84,Europe/Kiev
85,Europe/Uzhgorod
86,Europe/Chisinau
87,Europe/Simferopol
88,Europe/Saratov
89,Europe/Volgograd
90,Asia/Oral
91,Europe/Astrakhan
92,Europe/Zaporozhye
93,Asia/Atyrau
94,Asia/Aqtobe
95,Asia/Yerevan
96,Asia/Qyzylorda
97,Asia/Aqtau
98,Asia/Bishkek
99,Asia/Tbilisi
100,Asia/Baku
101,Asia/Samarkand
102,Asia/Ashgabat
103,Asia/Dushanbe
104,Asia/Tashkent
105,Asia/Damascus
106,Asia/Beirut
